0,0,0,0,0,0.19701,0.19701,0.19701,0.80183,0.80547,0.80547,0.91589,0.71831,0.096406,0.098069,0.098069,0.099731,6.5519,7.1836,7.1818,7.2796,7.2877,12.29,12.147,23.88,23.748,23.996,34.194,34.661,34.27,44.821,33.378,22.876,29.021,18.299,13.751,12.035,5.7532,5.6257,3.8667,9.0436,8.9323,5.0656,11.132,6.3594,6.3575,0.29084,0.51391,5.033,4.7914,5.6091,5.6462,8.943,12.526,11.72,13.615,5.9934,6.0146,3.3301,3.3191,7.5985,7.4932,7.5085,7.8108,2.0028,2.0181,2.0128,7.5857,7.6044,10.404,9.9835,9.8099,9.6551,9.6551,9.5576,8.2609,5.0719,4.9744,4.9744,4.9744
0.84401,0.84401,0.84401,0,0,0,0,0.2043,0.2043,0.81584,0.81584,0.81949,0.82985,0.94194,0.098069,0.098069,0.099731,0.10139,6.9134,7.2859,7.2859,7.2859,7.2411,0,12.118,12.116,24.002,23.726,24.208,34.55,33.904,44.554,45.418,45.254,28.648,18.402,12.038,5.6936,5.5639,9.4972,3.9333,8.9433,5.0099,11.244,6.2901,6.2892,0.66726,0.66764,4.7405,5.5906,5.5606,5.4372,13.37,12.389,13.736,7.3053,7.3154,3.3325,3.3215,7.7827,7.6095,6.9135,7.2278,7.8417,7.7541,7.7728,7.6699,6.1768,9.1345,10.002,9.9835,9.8099,9.6551,24.233,22.936,19.845,14.578,15.408,15.559,15.559
0.84401,0.84401,0.84401,0.85562,0,0,0,0,0,0.20795,0.82985,0.82985,0.82985,0.84387,0.95761,0.099731,0.099731,0.10139,0.10139,7.3971,7.2922,7.2922,7.3981,6.7474,0.11335,0.11085,0.51523,12.234,23.489,24.091,33.916,34.022,44.33,44.854,50.766,50.763,22.343,5.6958,5.502,9.502,9.502,8.9543,11.119,11.119,6.4365,6.6632,0.66577,4.6917,5.5535,5.542,6.1075,1.7381,14.613,15.138,15.116,7.2745,3.3392,3.3546,2.0291,13.134,13.351,13.253,13.596,7.8383,6.3706,6.3739,9.2946,23.116,24.133,23.979,24.11,24.11,18.798,14.427,14.427,15.285,15.271,15.408,15.559,15.559
0.84401,0.84401,0.84264,0.85425,0.85425,0,0,0,0,0,0.20795,0.84022,0.84022,0.84387,0.85788,0.31664,0.32029,0.10139,0.10139,0.26185,7.4994,7.3963,7.3963,7.2492,6.8452,0.10961,0.10961,0.52073,0.41112,12.737,23.572,23.801,33.912,44.862,50.578,50.349,50.206,54.1,16.444,9.5069,9.5069,9.2495,10.994,11.425,11.427,6.6617,0.43033,4.6432,7.5147,7.2827,7.2136,14.827,15.207,15.211,15.247,9.7079,9.6258,7.5644,13.31,13.426,12.422,25.694,19.948,19.845,23.279,23.131,22.653,24.1,24.231,18.574,18.724,15.461,14.277,15.148,15.134,15.285,15.271,15.408,15.559,15.559
0,0.85562,0.85425,0.85288,0.85288,0.86449,0.74304,0,0,0,0,0,0.85788,0.85788,0.85788,0.86824,0.2189,0.3256,0.3256,0.10306,0.76005,7.5092,7.5108,7.2492,7.3551,7.0526,7.0526,0.52747,0.41786,0.41786,0.77446,1.2875,23.679,35.334,50.687,50.457,50.067,48.146,46.985,31.14,20.663,14.756,11.369,11.425,11.428,2.4277,6.7024,7.5087,7.126,7.1414,6.6678,15.371,21.884,21.802,21.109,21.925,20.473,25.104,25.205,25.591,25.741,25.638,19.948,23.383,23.181,17.054,18.349,18.442,18.574,18.574,15.461,14.861,14.998,15.148,15.134,0.70718,0.69384,0.69384,8.8019,8.1081
0,0,0.85425,0.85288,0.85288,0.86312,0.87473,0.87473,0,0,0,0,0.64263,0.85788,0.85788,0.86824,0.88226,0.22255,0.3256,0.32925,0.25833,0.75994,7.6068,7.6068,7.3551,7.0526,7.0514,7.567,0.52622,0.41786,1.2057,1.2874,1.2874,1.4287,33.87,50.439,50.048,48.031,46.623,50.777,41.04,20.685,23.016,23.87,13.069,2.4145,6.3823,7.0871,13.808,29.961,25.591,34.295,33.456,33.524,20.431,18.964,19.302,25.734,25.537,25.685,25.839,17.337,17.195,17.138,16.903,18.425,18.407,18.557,16.09,2.1002,0.74721,0.73387,0.72053,0.72053,0.70718,0.70718,8.9504,8.2432,8.1081,8.1081
0,0,0,0.86449,0.86449,0.86312,0.87473,0.87473,0.88634,0,0,0,0,0.65299,0.65299,0.87554,0.88591,0.89627,0.22255,0.33091,0.48618,0.4863,0.76793,7.711,7.5609,7.5786,7.0501,7.5725,7.5725,0.4246,0.44289,1.3078,1.3078,1.437,2.5614,8.4513,39.135,49.743,42.613,52.007,51.8,42.783,39.34,23.221,42.134,40.092,25.875,25.739,29.578,25.52,32.517,32.404,32.349,28.592,19.061,19.347,25.967,19.492,19.486,23.184,17.4,17.05,16.868,3.435,4.8256,4.8068,2.1269,2.1136,2.1136,0.74721,0.74721,0.73387,0.72053,0.72053,0.72053,8.3784,8.2432,8.2432,8.1081,8.1081
12.02,12.02,11.908,10.849,10.982,11.611,11.611,11.498,11.398,11.41,11.167,10.401,10.289,10.178,10.841,10.729,10.617,10.854,10.752,10.068,9.9564,10.106,10.626,10.514,10.171,17.071,16.539,16.318,16.749,16.629,9.5019,10.276,10.164,10.293,11.399,9.6635,9.5228,29.555,50.239,64.039,63.836,76.7,67.123,57.26,51.863,39.707,35.984,33.862,37.692,24.93,32.474,32.557,28.791,28.941,12.906,19.476,19.527,6.6615,10.263,10.209,3.888,3.4922,3.4922,4.8829,5.6701,2.1591,2.1457,2.1324,0.76056,0.74721,0.74721,0.74721,0.74721,8.5135,8.3784,8.3784,8.2432,8.2432,8.2432,8.2432
12.02,12.02,11.898,11.786,11.786,10.737,11.623,11.51,11.397,11.408,11.296,11.179,10.289,10.178,10.178,10.739,10.628,10.628,10.752,10.763,9.9564,9.9999,10.108,10.522,10.414,10.03,17.08,16.428,16.754,16.636,16.745,9.4964,21.946,22.077,21.428,30.279,30.252,37.924,46.481,63.557,68.709,73.886,79.336,74.069,71.922,56.525,51.911,45.199,42.448,41.673,43.307,17.594,17.482,8.0151,8.0151,14.118,17.574,17.578,17.123,10.484,10.484,10.372,12.595,8.9017,8.7765,8.7765,8.6513,7.2473,7.2473,0.76056,0,0,8.6486,8.5135,8.3784,8.3784,8.3784,8.3784,0,0
12.02,12.02,11.898,11.777,11.777,11.665,10.737,11.521,11.408,11.408,11.295,11.307,11.206,10.178,10.178,10.066,10.638,10.638,10.526,10.536,10.668,9.8518,10,10.53,10.422,10.426,20.499,26.744,28.251,28.026,28.182,28.171,21.95,29.806,30.085,32.012,38.064,38.007,36.626,43.519,51.699,72.228,67.504,71.171,71.355,65.893,41.16,37.884,33.481,31.62,31.145,27.741,26.531,17.729,18.203,17.84,17.674,17.392,10.653,11.368,11.368,9.0644,9.0456,8.9017,8.7765,8.7765,7.274,7.1622,6.3749,6.2631,15.047,14.8,14.688,14.553,14.306,14.306,14.194,5.7039,5.7039,5.7039
